text,label
"You are a complete idiot and nobody likes you.",1
"I hope you have a wonderful day today!",0
"Why are you even alive? Just leave everyone alone.",1
"That is a very interesting perspective on the topic.",0
"You look so ugly in that photo, delete it now.",1
"Can you help me with my homework later?",0
"Everyone hates you and talks behind your back.",1
"The weather today is absolutely beautiful.",0
"Go kill yourself, the world would be better.",1
"I really appreciate your kindness.",0
"You are the most annoying person I have ever met.",1
"Let's go grab some pizza after work.",0
"Shut up, nobody asked for your garbage opinion.",1
"I think you did a great job on the presentation.",0
"You're a loser and you'll never amount to anything.",1
"What time does the movie start tonight?",0
"I'm going to find where you live and hurt you.",1
"Thank you for being such a good friend.",0
"Stop posting, you are embarrassing yourself.",1
"The new update for the app looks amazing.",0
"You are pathetic and weak.",1
"Do you want to join our study group?",0
"Stupid brat, go back to where you came from.",1
"I love your outfit, where did you get it?",0
"Nobody cares about you or your problems.",1
"Science is my favorite subject in school.",0
"You're so fat, it's actually disgusting.",1
"Have a safe flight back home!",0
"I'm going to leak your private photos online.",1
"Congratulations on your new job promotion.",0
"You are a waste of space.",1
"The cake you baked tasted delicious.",0
"You sound like a total moron when you speak.",1
"I'm looking forward to the weekend.",0
"Get off the internet, you freak.",1
"That was a very brave thing to do.",0
"You are so ugly, even your parents hate you.",1
"I'll be there in five minutes.",0
"Cry more, you little baby.",1
"Happy birthday! Hope it's a great one.",0
"You don't belong here, leave now.",1
"That sunset looks incredible.",0
"I'm going to make your life a living hell.",1
"Can I borrow your pen for a second?",0
"You are trash and you know it.",1
"I enjoyed our conversation today.",0
"You are a disgusting human being.",1
"Let's play some video games tonight.",0
"You're too stupid to understand this.",1
"Peace and love to everyone.",0
"I'm going to track your IP and come for you.",1
"The library is a quiet place to study.",0
"You are a worthless piece of junk.",1
"Great work on the project!",0
"Everyone is laughing at you.",1
"I hope you feel better soon.",0
"You are a coward and a liar.",1
"What's your favorite color?",0
"I'll ruin your reputation at school.",1
"You have a very kind heart.",0
"Get a life, you loser.",1
"I'm learning how to code in Flutter.",0
"You look like a monster.",1
"The flowers are blooming in the garden.",0
"I'll make sure you never get a job.",1
"Thanks for the advice, it helped a lot.",0
"You're a failure at everything.",1
"I'm so proud of what you achieved.",0
"Kill yourself already.",1
"Do you like listening to music?",0
"You are an embarrassment to your family.",1
"The coffee at that shop is great.",0
"I'm watching your every move.",1
"I hope you have a relaxing evening.",0
"You're a disgusting pig.",1
"The stars are very bright tonight.",0
"Nobody wants to be your friend.",1
"Good luck with your exams!",0
"You are so dim-witted.",1
"I'll call you tomorrow morning.",0
"You are a joke to everyone.",1
"The ocean waves are so calming.",0
"I'm going to hunt you down.",1
"You have a great sense of humor.",0
"You're a creep and a weirdo.",1
"I just finished reading a great book.",0
"You are absolutely hideous.",1
"Let's go for a walk in the park.",0
"I'll destroy everything you love.",1
"You are a very talented artist.",0
"You are a brainless idiot.",1
"I'm cooking dinner for my family.",0
"You should be ashamed of yourself.",1
"It's nice to meet you.",0
"You're a pathetic excuse for a human.",1
"The mountains are covered in snow.",0
"I'll get you fired from your job.",1
"Your smile brightens my day.",0
"You are a moron.",1
"I am learning Python today.",0
"pooda patti",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"pooda naari",1
"you are looking soo cool",0
"call me",1
"cutee",0
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1
"naayinte moonee",1